
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
2024-12-19T13:59:11.779+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/NewsLetter/NewsLetterRepository.class]
2024-12-19T13:59:11.780+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/banner/BannerController.class]
2024-12-19T13:59:11.781+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/banner/BannerRepository.class]
2024-12-19T13:59:11.781+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/banner/BannerService.class]
2024-12-19T13:59:11.782+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/vendor/VendorRepository.class]
2024-12-19T13:59:11.782+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/vendor/VendorsService.class]
2024-12-19T13:59:11.783+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/vendor/VendorController.class]
2024-12-19T13:59:12.430+05:30  INFO 1968086 --- [contenttree] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-12-19T13:59:12.435+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2024-12-19T13:59:12.442+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.b.a.AutoConfigurationPackages        : @EnableAutoConfiguration was declared on a class in the package 'com.contenttree'. Automatic @Repository and @Entity scanning is enabled.
2024-12-19T13:59:12.442+05:30 DEBUG 1968086 --- [contenttree] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Scanning for JPA repositories in packages com.contenttree.
2024-12-19T13:59:12.451+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/Blogs/BlogsRepository.class]
2024-12-19T13:59:12.451+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/Blogs/BlogsCategoryRepository.class]
2024-12-19T13:59:12.451+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/solutionsets/SolutionSetsRepository.class]
